UNITID,uni_name
104151,Arizona State University
164988,Boston University
217156,Brown University
110404,California Institute of Technology
211440,Carnegie Mellon University
190150,Columbia University
190415,Cornell University
182670,Dartmouth College
198419,Duke University
139755,Georgia Institute of Technology
166027,Harvard University
162928,Johns Hopkins University
166683,Massachusetts Institute of Technology
193900,New York University
199193,North Carolina State University
147767,Northwestern University
204796,Ohio State University
214777,Pennsylvania State University
186131,Princeton University
243780,Purdue University
194824,Rensselaer Polytechnic Institute
227757,Rice University
186380,Rutgers - State University of New Jersey - New Brunswick
243744,Stanford University
196097,State University of New York - Stony Brook
228723,Texas A&M University
104179,University of Arizona
110635,University of California - Berkeley
110644,University of California - Davis
110653,University of California - Irvine
110662,University of California - Los Angeles
110680,University of California - San Diego
110705,University of California - Santa Barbara
144050,University of Chicago
126614,University of Colorado Boulder
134130,University of Florida
145637,University of Illinois at Urbana-Champaign
163286,University of Maryland - College Park
166629,University of Massachusetts - Amherst
170976,University of Michigan
174066,University of Minnesota - Twin Cities
199120,University of North Carolina - Chapel Hill
152080,University of Notre Dame - USA
215062,University of Pennsylvania
215293,University of Pittsburgh
195030,University of Rochester
123961,University of Southern California
228778,University of Texas - Austin
230764,University of Utah
234076,University of Virginia
236948,University of Washington
240444,University of Wisconsin - Madison
233921,Virginia Polytechnic Institute and State University
179867,Washington University - St. Louis
130794,Yale University
